record_number,accessed_date,cruise_number,sample_date_local,year,vessel_name,transect_name,dist_offshore_nautical_miles,station_depth_meters,station_code,start_time_local,start_lat_decimal_deg_north,start_long_decl_deg_west,salmon_id_number,common_name,genus_species,age_classbylength,tagged_code,tagged_description,count,field_length_millimeters,type_of_length,length_description,method_saved,lab_fork_length_millimeters,lab_weight_grams,pit_code,coded_wire_tag_number,genetic_stock_best_estimate,genetic_stock_best_est_prob,genetic_stock_2nd_best_est,genetic_stock_2nd_bst_est_prob,insulin_like_grwth_fct_1_ng_ml,pct_based_tag_hatchery_asgn,pct_based_tag_prob,fkln_mm_freshw_emg_otolith,nwfsc_parr_source_url,nwfsc_parr_data_citation
Row 1 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35032,Chinook salmon,Oncorhynchus tshawytscha,yearling,Ad/PBT,Ad clipped & Parentage Based Tagging,1,147,FL (mm),Fork Length,Frozen,144,25.6,,,Snake_Sp,0.999,,,41.26006,RapidRiver,0.998747,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 4 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35035,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,121,FL (mm),Fork Length,Frozen,,,,,Okanogan,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 5 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35036,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,112,FL (mm),Fork Length,Frozen,,,,,Wenatchee,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 6 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35037,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,220,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.9986,,0.0,42.70981,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 7 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35038,Steelhead,Oncorhynchus mykiss,juvenile,NO,NO TAG,1,152,FL (mm),Fork Length,Frozen,,,,,Low_Columbia,0.9991,,0.0,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 2 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35033,Chinook salmon,Oncorhynchus tshawytscha,mixed age juvenile,NO,NO TAG,1,444,FL (mm),Fork Length,Frozen,,1011.7,,,,,,,62.11528,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 3 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35034,Sockeye salmon,Oncorhynchus nerka,juvenile,NO,NO TAG,1,139,FL (mm),Fork Length,Frozen,,,,,Wenatchee,1.0,,,,,,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 16 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35048,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,288,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.995898,Mid&Up_CR/Low_Snake,0.1564,24.24277,Oxbow,0.996,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 17 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35049,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,190,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.998177,,0.0,,Wallowa,0.998,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
Row 18 of 1808,Accessed on 2019-07-24 04:02:26,51,2015-05-24T00:00:00,2015,Frosti,,,130,052415MC4,2015-05-24T13:51:00,46.17117,-124.451,35050,Steelhead,Oncorhynchus mykiss,juvenile,Ad/PBT,Ad clipped & Parentage Based Tagging,1,283,FL (mm),Fork Length,Frozen,,,,,Mid&Up_CR/Low_Snake,0.999975,Salmon_R,0.0857,63.46597,Oxbow,1.0,,https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics,"Morgan, Cheryl; 03/20/2017. NOAA Fisheries Northwest Fisheries Science Center. Juvenile Salmonid Metrics: ocean_juvenile_salmon_metrics (https://www.webapps.nwfsc.noaa.gov/apex/parrdata/inventory/tables/table/ocean_juvenile_salmon_metrics)"
